Front End Developer,Luckyland Gaming,
"Front-end developer (JS,  HTML,  CSS)",Stearling Web Agency,
HTML/CSS/SCSS - верстальщик / Front-end Developer,Arnit,15 000 грн
Med/Senior Frontend Web-Developer,Concert.ua,40 000 грн
Front-end Developer,КВЕСТ МАРКЕТИНГ ЛТД,22 000 грн
Senior Front-End Software Engineer,CEX.IO Labs,
Python/JavaScript Software Engineer,SPS Commerce (Ukraine),
JavaScript Full stack Developer for Ciklum New Client (Kyiv),Ciklum,
Senior Front End Developer for Ciklum New Client,Ciklum,
Markup Developer,Luxoft,
Leading Front-End Developer (Angular JS),lifecell,
HTML Coder / Front-end Developer,Седьмой Уровень,18 000 грн
"Developer,  Professional Services",Selerant,
Front End Developer (JavaScript),ProgForce,
Front-end Angular Developer,AdSaver,
Middle + / Senior Front-End / Full-Stack developer,Beetroot,
Senior Front End Developer for Ciklum Solutions JS Team,Ciklum,
Senior/Middle Front-end developer (React),EvoPlay,
Front-end Developer,Room 8 Studio,
Middle Front-end developer,BINTIME,
Front End Developer,Luckyland Gaming,
"Front-end developer (JS,  HTML,  CSS)",Stearling Web Agency,
HTML/CSS/SCSS - верстальщик / Front-end Developer,Arnit,15 000 грн
Med/Senior Frontend Web-Developer,Concert.ua,40 000 грн
Front-end Developer,КВЕСТ МАРКЕТИНГ ЛТД,22 000 грн
Senior Front-End Software Engineer,CEX.IO Labs,
Python/JavaScript Software Engineer,SPS Commerce (Ukraine),
JavaScript Full stack Developer for Ciklum New Client (Kyiv),Ciklum,
Senior Front End Developer for Ciklum New Client,Ciklum,
Markup Developer,Luxoft,
Leading Front-End Developer (Angular JS),lifecell,
HTML Coder / Front-end Developer,Седьмой Уровень,18 000 грн
"Developer,  Professional Services",Selerant,
Front End Developer (JavaScript),ProgForce,
Front-end Angular Developer,AdSaver,
Middle + / Senior Front-End / Full-Stack developer,Beetroot,
Senior Front End Developer for Ciklum Solutions JS Team,Ciklum,
Senior/Middle Front-end developer (React),EvoPlay,
Front-end Developer,Room 8 Studio,
Middle Front-end developer,BINTIME,
